run_id,reference_file,reference_sheet,network,function,mml_object,parameter_id,recommend_value,status,input_files,config_sheet,config_column,bit_name,objects_checked,match_count,mismatch_count,actual_top,remark
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,NRDUCELLSRS,BEAM_SPECIFIC_SRS_DENOISE_SW@SRSDETECTIONALGOSWITCH,,No Recommend Value,5G_ConfigurationData_15Sep26.xlsb,NRDUCellSrs,SRS Detection Algorithm Switch,BEAM_SPECIFIC_SRS_DENOISE_SW,673,0,0,5G_ConfigurationData_15Sep26.xlsb: 1 (565) | 5G_ConfigurationData_15Sep26.xlsb: 0 (108),5G_ConfigurationData_15Sep26.xlsb: Reference recommend value is empty; parameter not audited for inconsistency
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,NRDUCELLSRSMEAS,SRSINTRFTHLD,,No Recommend Value,5G_ConfigurationData_15Sep26.xlsb,NRDUCellSrsMeas,SRS Interference Threshold(dB),,673,0,0,5G_ConfigurationData_15Sep26.xlsb: 5 (673),5G_ConfigurationData_15Sep26.xlsb: Reference recommend value is empty; parameter not audited for inconsistency
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,NRDUCELLULPCCONFIG,INTRFUESRSPCMINSINRTARGET,,No Recommend Value,5G_ConfigurationData_15Sep26.xlsb,NRDUCellUlPcConfig,Intrf UE SRS Pwr Ctrl Min SINR Target(0.1dB),,673,0,0,5G_ConfigurationData_15Sep26.xlsb: 50 (672) | 5G_ConfigurationData_15Sep26.xlsb: 10 (1),5G_ConfigurationData_15Sep26.xlsb: Reference recommend value is empty; parameter not audited for inconsistency
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,NRDUCELLULPCCONFIG,MAXSRSPOADJUSTAMOUNT,,No Recommend Value,5G_ConfigurationData_15Sep26.xlsb,NRDUCellUlPcConfig,Max SRS PO Adjustment Amount(dB),,673,0,0,5G_ConfigurationData_15Sep26.xlsb: 6 (672) | 5G_ConfigurationData_15Sep26.xlsb: 10 (1),5G_ConfigurationData_15Sep26.xlsb: Reference recommend value is empty; parameter not audited for inconsistency
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,NRDUCELLALGOSWITCH,LOW_SNR_CHN_DENOISE_SW@ADAPTIVEEDGEEXPENHSWITCH,0,Mixed / Partial,5G_ConfigurationData_15Sep26.xlsb,NRDUCellAlgoSwitch,Adaptive Edge Experience Enhance Switch,LOW_SNR_CHN_DENOISE_SW,673,619,54,5G_ConfigurationData_15Sep26.xlsb: 0 (619) | 5G_ConfigurationData_15Sep26.xlsb: 1 (54),5G_ConfigurationData_15Sep26.xlsb: OK
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,NRDUCELLDLAMC,DL_MCS_ADJ_OPT_SW@DLAMCALGOSW,,No Recommend Value,5G_ConfigurationData_15Sep26.xlsb,NRDUCellDlAmc,Downlink AMC Algorithm Switch,DL_MCS_ADJ_OPT_SW,673,0,0,5G_ConfigurationData_15Sep26.xlsb: 1 (670) | 5G_ConfigurationData_15Sep26.xlsb: 0 (3),5G_ConfigurationData_15Sep26.xlsb: Reference recommend value is empty; parameter not audited for inconsistency
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,NRDUCELLDLRANK,RANK_AND_SINR_ESTIMATE_OPT_SW@DLRANKSELALGOSW,,No Recommend Value,5G_ConfigurationData_15Sep26.xlsb,NRDUCellDlRank,DL Rank Selection Algorithm Switch,RANK_AND_SINR_ESTIMATE_OPT_SW,673,0,0,5G_ConfigurationData_15Sep26.xlsb: 1 (672) | 5G_ConfigurationData_15Sep26.xlsb: 0 (1),5G_ConfigurationData_15Sep26.xlsb: Reference recommend value is empty; parameter not audited for inconsistency
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,NRDUCELLAIALGO,DL_SU_MCS_INTEL_OPT_SW@AIAMCALGOSWITCH,,No Recommend Value,5G_ConfigurationData_15Sep26.xlsb,NRDUCellAiAlgo,AI AMC Algorithm Switch,DL_SU_MCS_INTEL_OPT_SW,673,0,0,5G_ConfigurationData_15Sep26.xlsb: 1 (672) | 5G_ConfigurationData_15Sep26.xlsb: 0 (1),5G_ConfigurationData_15Sep26.xlsb: Reference recommend value is empty; parameter not audited for inconsistency
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,NRDUCELLAIALGO,DLSUPREDICTERRORUPPERLIMIT,,No Recommend Value,5G_ConfigurationData_15Sep26.xlsb,NRDUCellAiAlgo,DL SU-MIMO Predict Error Upper Limit,,673,0,0,5G_ConfigurationData_15Sep26.xlsb: 5 (673),5G_ConfigurationData_15Sep26.xlsb: Reference recommend value is empty; parameter not audited for inconsistency
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,NRDUCELLDLSCH,DL_RLC_STATUS_RPT_AWARE_SCH_SW@DLSCHALGOSWITCH,,No Recommend Value,5G_ConfigurationData_15Sep26.xlsb,NRDUCellDlSch,Downlink Schedule Algorithm Switch,DL_RLC_STATUS_RPT_AWARE_SCH_SW,673,0,0,5G_ConfigurationData_15Sep26.xlsb: 1 (672) | 5G_ConfigurationData_15Sep26.xlsb: 0 (1),5G_ConfigurationData_15Sep26.xlsb: Reference recommend value is empty; parameter not audited for inconsistency
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,NRDUCELLDLSCH,DL_SLOT_AWARE_SCH_SW@DLSCHALGOSWITCH,,No Recommend Value,5G_ConfigurationData_15Sep26.xlsb,NRDUCellDlSch,Downlink Schedule Algorithm Switch,DL_SLOT_AWARE_SCH_SW,673,0,0,5G_ConfigurationData_15Sep26.xlsb: 1 (672) | 5G_ConfigurationData_15Sep26.xlsb: 0 (1),5G_ConfigurationData_15Sep26.xlsb: Reference recommend value is empty; parameter not audited for inconsistency
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,NRDUCELLDLSCH,DL_RETRANS_PRECISE_RB_CTRL_SW@DLSCHALGOSWITCH,,No Recommend Value,5G_ConfigurationData_15Sep26.xlsb,NRDUCellDlSch,Downlink Schedule Algorithm Switch,DL_RETRANS_PRECISE_RB_CTRL_SW,673,0,0,5G_ConfigurationData_15Sep26.xlsb: 1 (672) | 5G_ConfigurationData_15Sep26.xlsb: 0 (1),5G_ConfigurationData_15Sep26.xlsb: Reference recommend value is empty; parameter not audited for inconsistency
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,NRDUCELLALGOSWITCH,PUSCH_BEAM_DOMAIN_ENH_SW@FULLCHANNELCOVENHSWITCH,1,Mixed / Partial,5G_ConfigurationData_15Sep26.xlsb,NRDUCellAlgoSwitch,Full Channel Coverage Enhancement Switch,PUSCH_BEAM_DOMAIN_ENH_SW,673,672,1,5G_ConfigurationData_15Sep26.xlsb: 1 (672) | 5G_ConfigurationData_15Sep26.xlsb: 0 (1),5G_ConfigurationData_15Sep26.xlsb: OK
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,NRDUCELLDLAMC,DL_SRS_CAP_BASED_BF_GAIN_SW@DLMCSSELALGOSW,1,Inconsistent,5G_ConfigurationData_15Sep26.xlsb,NRDUCellDlAmc,DL MCS Selection Algorithm Switch,DL_SRS_CAP_BASED_BF_GAIN_SW,673,0,673,5G_ConfigurationData_15Sep26.xlsb: <BIT_MISSING:DL_SRS_CAP_BASED_BF_GAIN_SW> (673),Bit DL_SRS_CAP_BASED_BF_GAIN_SW is not present in the packed switch on NRDUCellDlAmc / DL MCS Selection Algorithm Switch for this software version.
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,NRDUCELLPDSCH,CCE_BASED_SU_PDSCH_BAL_SCH_SW@DLPDSCHALGOSWITCH,1,Mixed / Partial,5G_ConfigurationData_15Sep26.xlsb,NRDUCellPdsch,Downlink PDSCH Algorithm Switch,CCE_BASED_SU_PDSCH_BAL_SCH_SW,673,672,1,5G_ConfigurationData_15Sep26.xlsb: 1 (672) | 5G_ConfigurationData_15Sep26.xlsb: 0 (1),5G_ConfigurationData_15Sep26.xlsb: OK
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,NRDUCELLPDSCH,DL_INIT_MCS_ADJ_SW@DLLINKADAPTALGOSWITCH,1,Mixed / Partial,5G_ConfigurationData_15Sep26.xlsb,NRDUCellPdsch,DL Link Adaptation Algorithm Switch,DL_INIT_MCS_ADJ_SW,673,669,4,5G_ConfigurationData_15Sep26.xlsb: 1 (669) | 5G_ConfigurationData_15Sep26.xlsb: 0 (4),5G_ConfigurationData_15Sep26.xlsb: OK
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,NRDUCELLCSIRS,CSIPERIOD,,No Recommend Value,5G_ConfigurationData_15Sep26.xlsb,NRDUCellCsirs,CSI Period(slot),,673,0,0,5G_ConfigurationData_15Sep26.xlsb: SLOT40 (656) | 5G_ConfigurationData_15Sep26.xlsb: SLOT10 (17),5G_ConfigurationData_15Sep26.xlsb: Reference recommend value is empty; parameter not audited for inconsistency
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,NRDUCELLCSIRS,NCELLCSIRSINTRFAVOID,,No Recommend Value,5G_ConfigurationData_15Sep26.xlsb,NRDUCellCsirs,NCell CSI-RS Interference Avoidance,,673,0,0,5G_ConfigurationData_15Sep26.xlsb: P_CELL (655) | 5G_ConfigurationData_15Sep26.xlsb: NO_AVOID (18),5G_ConfigurationData_15Sep26.xlsb: Reference recommend value is empty; parameter not audited for inconsistency
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,NRDUCELLSRS,SRS_PERIOD_ADAPT_SW@SRSALGOSWITCH,0,Consistent,5G_ConfigurationData_15Sep26.xlsb,NRDUCellSrs,SRS Algorithm Switch,SRS_PERIOD_ADAPT_SW,673,673,0,5G_ConfigurationData_15Sep26.xlsb: 0 (673),5G_ConfigurationData_15Sep26.xlsb: OK
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,NRDUCELLPDCCHALGO,PDCCHPRECODEENHPOLICY,,No Recommend Value,5G_ConfigurationData_15Sep26.xlsb,NRDUCellPdcchAlgo,PDCCH Precode Enh Policy,,673,0,0,5G_ConfigurationData_15Sep26.xlsb: ENH_PMI (672) | 5G_ConfigurationData_15Sep26.xlsb: ENH_OFF (1),5G_ConfigurationData_15Sep26.xlsb: Reference recommend value is empty; parameter not audited for inconsistency
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,NRDUCELLSRS,SRS_INTRF_COORD_S_SLOT_SW@SRSALGOEXTSWITCH,,No Recommend Value,5G_ConfigurationData_15Sep26.xlsb,NRDUCellSrs,SRS Algorithm Extension Switch,SRS_INTRF_COORD_S_SLOT_SW,673,0,0,5G_ConfigurationData_15Sep26.xlsb: 1 (673),5G_ConfigurationData_15Sep26.xlsb: Reference recommend value is empty; parameter not audited for inconsistency
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,NRDUCELLALGOSWITCH,PUSCH_TIME_DOMAIN_ENH_SW@FULLCHANNELCOVENHSWITCH,1,Mixed / Partial,5G_ConfigurationData_15Sep26.xlsb,NRDUCellAlgoSwitch,Full Channel Coverage Enhancement Switch,PUSCH_TIME_DOMAIN_ENH_SW,673,672,1,5G_ConfigurationData_15Sep26.xlsb: 1 (672) | 5G_ConfigurationData_15Sep26.xlsb: 0 (1),5G_ConfigurationData_15Sep26.xlsb: OK
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,NRDUCELLULAMC,UL_SCH_AVG_SINR_OPT_SW@ULAMCALGOSW,1,Consistent,5G_ConfigurationData_15Sep26.xlsb,NRDUCellUlAmc,Uplink AMC Algorithm Switch,UL_SCH_AVG_SINR_OPT_SW,673,673,0,5G_ConfigurationData_15Sep26.xlsb: 1 (673),5G_ConfigurationData_15Sep26.xlsb: OK
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,GNODEBPARAM,PDCP_SN_ABN_FULL_CONFIG_SW@COMPATIBILITYALGOSWITCH,1,Mixed / Partial,5G_ConfigurationData_15Sep26.xlsb,gNodeBParam,Compatibility Algorithm Switch,PDCP_SN_ABN_FULL_CONFIG_SW,240,239,1,5G_ConfigurationData_15Sep26.xlsb: 1 (239) | 5G_ConfigurationData_15Sep26.xlsb: 0 (1),5G_ConfigurationData_15Sep26.xlsb: OK
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,GNODEBPARAM,UL_PDCP_SN_ABN_COMPT_OPT_SW@COMPATIBILITYALGOSWITCH,1,Mixed / Partial,5G_ConfigurationData_15Sep26.xlsb,gNodeBParam,Compatibility Algorithm Switch,UL_PDCP_SN_ABN_COMPT_OPT_SW,240,239,1,5G_ConfigurationData_15Sep26.xlsb: 1 (239) | 5G_ConfigurationData_15Sep26.xlsb: 0 (1),5G_ConfigurationData_15Sep26.xlsb: OK
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,NRCELLALGOSWITCH,NSADCSWITCH,ON,Consistent,5G_ConfigurationData_15Sep26.xlsb,NRCellAlgoSwitch,NSA DC Switch,,673,673,0,5G_ConfigurationData_15Sep26.xlsb: ON (673),5G_ConfigurationData_15Sep26.xlsb: OK
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,GNBX2SONCONFIG,X2SON_SETUP_SWITCH@X2SONCONFIGSWITCH,1,Consistent,5G_ConfigurationData_15Sep26.xlsb,gNBX2SonConfig,X2 SON Configuration Switch,X2SON_SETUP_SWITCH,240,240,0,5G_ConfigurationData_15Sep26.xlsb: 1 (240),5G_ConfigurationData_15Sep26.xlsb: OK
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,NRDUCELLQCIBEARER,UEINACTIVITYTIMER,,No Recommend Value,5G_ConfigurationData_15Sep26.xlsb,NRDUCellQciBearer,UE Inactivity Timer(s),,11307,0,0,5G_ConfigurationData_15Sep26.xlsb: 10 (11307),5G_ConfigurationData_15Sep26.xlsb: Reference recommend value is empty; parameter not audited for inconsistency
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Data Bearer,GNBPDCPPARAMGROUP,DLDATAPDCPSPLITMODE,,No Recommend Value,5G_ConfigurationData_15Sep26.xlsb,gNBPdcpParamGroup,Downlink Data PDCP Split Mode,,4800,0,0,5G_ConfigurationData_15Sep26.xlsb: SCG_ONLY (4560) | 5G_ConfigurationData_15Sep26.xlsb: SCG_AND_MCG (240),5G_ConfigurationData_15Sep26.xlsb: Reference recommend value is empty; parameter not audited for inconsistency
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,GNBPDCPPARAMGROUP,ULDATASPLITPRIMARYPATH,SCG,Consistent,5G_ConfigurationData_15Sep26.xlsb,gNBPdcpParamGroup,Uplink Data Split Primary Path,,4800,4800,0,5G_ConfigurationData_15Sep26.xlsb: SCG (4800),5G_ConfigurationData_15Sep26.xlsb: OK
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,GNBPDCPPARAMGROUP,ULDATASPLITTHRESHOLD,,No Recommend Value,5G_ConfigurationData_15Sep26.xlsb,gNBPdcpParamGroup,Uplink Data Split Threshold(byte),,4800,0,0,5G_ConfigurationData_15Sep26.xlsb: INFINITY (4560) | 5G_ConfigurationData_15Sep26.xlsb: BYTE1600 (211) | 5G_ConfigurationData_15Sep26.xlsb: BYTE204800 (10) | 5G_ConfigurationData_15Sep26.xlsb: BYTE51200 (10) | 5G_ConfigurationData_15Sep26.xlsb: BYTE102400 (9),5G_ConfigurationData_15Sep26.xlsb: Reference recommend value is empty; parameter not audited for inconsistency
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,GNBPDCPPARAMGROUP,GNBPDCPREORDERINGTIMER,,No Recommend Value,5G_ConfigurationData_15Sep26.xlsb,gNBPdcpParamGroup,gNodeB PDCP Reordering Timer(ms),,4800,0,0,5G_ConfigurationData_15Sep26.xlsb: MS15 (1200) | 5G_ConfigurationData_15Sep26.xlsb: MS50 (960) | 5G_ConfigurationData_15Sep26.xlsb: MS180 (960) | 5G_ConfigurationData_15Sep26.xlsb: MS200 (480) | 5G_ConfigurationData_15Sep26.xlsb: MS20 (240) | 5G_ConfigurationData_15Sep26.xlsb: MS1500 (240) | 5G_ConfigurationData_15Sep26.xlsb: MS300 (240) | 5G_ConfigurationData_15Sep26.xlsb: MS500 (240) | 5G_ConfigurationData_15Sep26.xlsb: MS100 (240),5G_ConfigurationData_15Sep26.xlsb: Reference recommend value is empty; parameter not audited for inconsistency
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,GNBPDCPPARAMGROUP,UEPDCPREORDERINGTIMER,,No Recommend Value,5G_ConfigurationData_15Sep26.xlsb,gNBPdcpParamGroup,UE PDCP Reordering Timer(ms),,4800,0,0,5G_ConfigurationData_15Sep26.xlsb: MS15 (1200) | 5G_ConfigurationData_15Sep26.xlsb: MS50 (960) | 5G_ConfigurationData_15Sep26.xlsb: MS180 (960) | 5G_ConfigurationData_15Sep26.xlsb: MS200 (480) | 5G_ConfigurationData_15Sep26.xlsb: MS20 (240) | 5G_ConfigurationData_15Sep26.xlsb: MS1500 (240) | 5G_ConfigurationData_15Sep26.xlsb: MS300 (240) | 5G_ConfigurationData_15Sep26.xlsb: MS500 (240) | 5G_ConfigurationData_15Sep26.xlsb: MS100 (240),5G_ConfigurationData_15Sep26.xlsb: Reference recommend value is empty; parameter not audited for inconsistency
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,NRCELLQCIBEARER,RLCMODE,,No Recommend Value,5G_ConfigurationData_15Sep26.xlsb,NRCellQciBearer,RLC Mode,,11307,0,0,5G_ConfigurationData_15Sep26.xlsb: UM (5990) | 5G_ConfigurationData_15Sep26.xlsb: AM (5317),5G_ConfigurationData_15Sep26.xlsb: Reference recommend value is empty; parameter not audited for inconsistency
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,GNBPDCPPARAMGROUP,DLPDCPSNSIZE,,No Recommend Value,5G_ConfigurationData_15Sep26.xlsb,gNBPdcpParamGroup,Downlink PDCP SN Size(bit),,4800,0,0,5G_ConfigurationData_15Sep26.xlsb: BITS18 (2640) | 5G_ConfigurationData_15Sep26.xlsb: BITS12 (2160),5G_ConfigurationData_15Sep26.xlsb: Reference recommend value is empty; parameter not audited for inconsistency
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,GNBPDCPPARAMGROUP,DLPDCPDISCARDTIMER,,No Recommend Value,5G_ConfigurationData_15Sep26.xlsb,gNBPdcpParamGroup,Downlink PDCP Discard Timer(ms),,4800,0,0,5G_ConfigurationData_15Sep26.xlsb: MS150 (1920) | 5G_ConfigurationData_15Sep26.xlsb: MS300 (1200) | 5G_ConfigurationData_15Sep26.xlsb: INFINITY (1200) | 5G_ConfigurationData_15Sep26.xlsb: MS50 (480),5G_ConfigurationData_15Sep26.xlsb: Reference recommend value is empty; parameter not audited for inconsistency
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,GNBRLCPARAMGROUP,RLCMODE,,No Recommend Value,5G_ConfigurationData_15Sep26.xlsb,gNBRlcParamGroup,RLC Mode,,3600,0,0,5G_ConfigurationData_15Sep26.xlsb: AM (2400) | 5G_ConfigurationData_15Sep26.xlsb: UM (1200),5G_ConfigurationData_15Sep26.xlsb: Reference recommend value is empty; parameter not audited for inconsistency
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,GNBRLCPARAMGROUP,UEAMSTATUSRPTPROHIBITTMR,,No Recommend Value,5G_ConfigurationData_15Sep26.xlsb,gNBRlcParamGroup,AM Status Report Prohibit Timer for UE(ms),,3600,0,0,5G_ConfigurationData_15Sep26.xlsb: <EMPTY> (1200) | 5G_ConfigurationData_15Sep26.xlsb: MS40 (960) | 5G_ConfigurationData_15Sep26.xlsb: MS15 (960) | 5G_ConfigurationData_15Sep26.xlsb: MS0 (480),5G_ConfigurationData_15Sep26.xlsb: Reference recommend value is empty; parameter not audited for inconsistency
15Sep26_folders,Reference Parameter_v1.0.xlsx,NR Performance,5G,Others,GNBRLCPARAMGROUP,UERLCREASSEMBLYTIMER,,No Recommend Value,5G_ConfigurationData_15Sep26.xlsb,gNBRlcParamGroup,RLC Reassembly Timer for UE(ms),,3600,0,0,5G_ConfigurationData_15Sep26.xlsb: MS15 (1920) | 5G_ConfigurationData_15Sep26.xlsb: MS40 (1680),5G_ConfigurationData_15Sep26.xlsb: Reference recommend value is empty; parameter not audited for inconsistency
